plate,delta_x_px,delta_y_px,scatter_px,offset_arcsec,n_tiles,status
XE232,0.9120736837080584,1.0896079853564515,0.0546732610882737,2.4143772755859825,4,ok
XE233,-0.0028930848384334,0.0044118638365944,0.0185193058982573,0.0089642759643031,4,ok
XE234,0.9079983608862676,0.9969164989352066,0.0704795326693087,2.291167465930504,4,ok
XE235,1.021468905151778,0.8395484476372985,0.0710214071275051,2.24659200533892,4,ok
XE236,1.0358595692305244,0.970548960164706,0.0764930444481976,2.411892632497479,4,ok
XE237,0.9461860601404624,1.027506857177741,0.0400241068565549,2.3733213809923184,4,ok
XE238,1.0653616743411476,0.9395473559434322,0.0416905722602713,2.413552521217147,4,ok
XE239,1.086334473388888,0.957642149865478,0.0425380180788415,2.460615066020866,4,ok
XE240,0.9834282089923364,0.9036017725761668,0.0721473441237841,2.2692152156747856,4,ok
XE241,1.2012767250066645,0.9645075452440324,0.0363788109068026,2.617602368584945,4,ok
XE242,1.0286918009851431,0.9971611490395844,0.1311684080741373,2.434272311038966,4,ok
XE243,1.084611310564469,0.9954846718774206,0.0557201083226818,2.501441293052652,4,ok
XE244,1.037733046267931,0.9513365884909036,0.0414773158471289,2.392037192553844,4,ok
XE245,1.0449663816179964,0.9927376724444912,0.0370296861767424,2.4490201813778345,4,ok
XE246,0.9922584966843716,0.9495580470534152,0.0583275639201304,2.3335753029358157,4,ok
XE247,0.97057955679702,0.9853257294962532,0.0663908853077526,2.350005118195956,4,ok
XE248,0.9974786308566764,1.058470421574384,0.0579277276018296,2.471223439689262,4,ok
XE249,1.1571405241193131,0.9913925729397306,0.0522691257415189,2.5890424581335303,4,ok
XE250,1.0308227068471751,0.9947854379338424,0.0588980037664441,2.4340685163395257,4,ok
XE251,0.9300107328699596,0.9952128904596976,0.0750884865582374,2.314401761772446,4,ok
XE252,0.949801696351642,1.038420179026616,0.0940458530420464,2.391136991351304,4,ok
XE253,0.976894288771291,1.0844895197965343,0.0813664911053231,2.480037762430896,4,ok
XE254,0.9724398373878104,0.9767897242713844,0.1072774750612701,2.341923560181759,4,ok
XE255,0.8898951584878887,0.986355428013212,0.0899865595545216,2.2572136766641693,4,ok
XE256,0.913564526690152,1.032756701348262,0.0853679449628283,2.342804283439305,4,ok
XE257,1.0115106862740504,1.06090801692244,0.0763327749234452,2.4906315328101303,4,ok
XE258,0.7744296210776156,0.9885752201666946,0.023264632437148,2.1337451501090325,4,ok
XE259,0.8411445530628043,1.0054472720653391,0.0561683395313194,2.227367548586592,4,ok
XE260,0.9271189684368436,1.0684332787627682,0.0684884963743634,2.403576547761331,4,ok
XE261,0.795256168292326,1.0521861104007255,0.066335377269413,2.2409870805875483,4,ok
XE262,0.8795618847975675,1.0350419664250694,0.0341072544514443,2.30788881240337,4,ok
XE263,0.6905702615658811,1.112482786477358,0.0481850065322962,2.2248106299350394,4,ok
XE264,0.830903741977636,1.0400512413543763,0.0595361382753873,2.2618754591839423,4,ok
XE265,0.8993656503098464,1.028058331803095,0.0666899668575469,2.3208753914974625,4,ok
XE266,0.8369972202626741,1.0015892403066573,0.0278817672599989,2.217818414558609,4,ok
XE267,0.8500098030190202,0.9389146978264762,0.0513317005695694,2.1519704978341525,4,ok
XE268,-0.2442066530711599,0.1276187691610175,0.0798381494113477,0.4681786236387162,4,ok
XE269,0.8583273824497155,0.9693375497090528,0.0824556160355984,2.199909676125408,4,ok
XE270,0.8337250788918027,1.0593333155215987,0.0377048095541054,2.290525408877925,4,ok
XE271,0.8030642452495158,0.9061256039462932,0.0989204544734559,2.0572498642962898,4,ok
XE272,0.8448044001743256,1.0771208283906617,0.042821979827665,2.3259210326092385,4,ok
XE273,1.0007375285777016,1.0814574987275591,0.0526081205751441,2.5035492972780244,4,ok
XE274,0.9744210503540672,0.9813456051779212,0.0860250915059951,2.349786501475161,4,ok
XE275,0.8672844519596765,0.9596434839545508,0.070589858236842,2.197780545765483,4,ok
XE276,0.8418871783369468,1.0205674511703364,0.0245500268280471,2.24793553331525,4,ok
XE277,1.0135475729584869,1.053616839726601,0.0713797931849442,2.484078052381829,4,ok
XE278,0.9071343133578011,0.9916210748756384,0.0863084072007573,2.2835323331242923,4,ok
XE279,0.878669905058814,1.085956238152903,0.0478778840169095,2.373518041583513,4,ok
XE280,1.0060772026208724,0.9192098873495524,0.0302079351468033,2.315505139295972,4,ok
XE281,0.994486824132764,0.9431427403965243,0.0795575286037075,2.3287979879536564,4,ok
XE282,1.0991710003781918,0.7996519844073191,0.0182311418523679,2.3095639497122056,4,ok
XE283,0.956891517060285,1.0327086137585866,0.0893745105266963,2.392156238268587,4,ok
XE284,0.0140880968851888,-0.0121364012441063,0.0,0.0312337713981764,1,ok
XE285,1.368331267855865,0.6962844218332975,0.2390564682745664,2.608654467912537,4,ok
